id,ime,kraj,drzava,direktor,zaloga
462035,Kutch Hospital,Yizhivtsi,Ukraine,Rebekkah Wagge,818
800850,Lebsack Hospital,Astromil,Portugal,Caleb McQuirk,418
966506,Goldner Hospital,Vidoši,Bosnia and Herzegovina,Stephanie Jennins,616
374819,Stroman Hospital,Kruševac,Serbia,Glenna Ensley,925
722898,Tromp Hospital,Gislaved,Sweden,Curry Van Der Hoog,150
946495,Weber Hospital,Kohtla-Järve,Estonia,Athena Balm,572
198838,McClure Hospital,Maisons-Laffitte,France,Kessia Taudevin,593
154255,Bernier Hospital,Alexandroúpoli,Greece,Dar Farens,492
389402,Yost Hospital,Stebnyk,Ukraine,Coleen Murrell,10
419853,Harvey Hospital,Lopatyn,Ukraine,Melva Speer,607
436241,Gleichner Hospital,Sámi,Greece,Cristin Stobart,276
153128,Kunze Hospital,Obukhiv,Ukraine,Adan Conerding,831
005121,Ondricka Hospital,Évreux,France,Karita Hearnah,467
303708,Walker Hospital,Sandviken,Sweden,Zackariah Vogeler,780
448341,Lemke Hospital,Kirove,Ukraine,Joye Eastcourt,505
882614,Thiel Hospital,Sundsvall,Sweden,Barton Milley,879
919397,Crist Hospital,Korolëv Stan,Belarus,Warden Angliss,975
559400,Mitchell Hospital,Apače,Slovenia,Brendon McQueen,266
200253,Windler Hospital,Strelka,Russia,Paulie McGiveen,140
891542,Mayert Hospital,Saint-Herblain,France,Waylin MacCurley,702
804830,Greenfelder Hospital,Göteborg,Sweden,Eba Cometti,223
782538,Bernhard Hospital,Juuka,Finland,Hillary Di Dello,12
912191,Ankunding Hospital,Paris 09,France,Candy Newlove,105
076382,Jacobs Hospital,Västerås,Sweden,Jammal Danet,900
266129,Mayert Hospital,Östersund,Sweden,Guinevere Lashbrook,335
906756,Treutel Hospital,Delft,Netherlands,Collen Ferby,809
009332,Fay Hospital,Daugavpils,Latvia,Binni O' Loughran,315
807760,Conroy Hospital,Dondar Quşçu,Azerbaijan,Alvan Pierrepoint,529
915935,Waters Hospital,Kornyn,Ukraine,Bettina Brantl,52
842516,Parker Hospital,Gubkinskiy,Russia,Bowie Hubberstey,854
277329,Corwin Hospital,Miastków Kościelny,Poland,Cathy Wilderspoon,273
709552,Wiegand Hospital,Casais,Portugal,Gilly Hovington,251
943397,Reinger Hospital,Vodňany,Czech Republic,Teriann Le Borgne,768
462152,Auer Hospital,Gelgaudiškis,Lithuania,Rob Leadstone,235
193206,Mayert Hospital,Ursus,Poland,Katherine Steljes,694
632394,Lowe Hospital,Batanovtsi,Bulgaria,Skipp Cicero,444
048645,Hane Hospital,Lewin Kłodzki,Poland,Ranna Guy,740
609485,Quitzon Hospital,Mulhouse,France,Jonathan Mushart,581
873494,Herzog Hospital,Alchevs’k,Ukraine,Agosto Wayte,243
468111,Anderson Hospital,Kondrovo,Russia,Margy Tembridge,769
658870,Nikolaus Hospital,Nor Yerznka,Armenia,Allin Oscroft,203
457956,Breitenberg Hospital,Marićka,Bosnia and Herzegovina,Alley Willowby,621
