stevilka_vrecke,datum_prejetja
23395007,22/05/2010
92890355,10/07/2018
02890888,08/09/2013
21046984,08/03/2013
55512455,18/09/2013
86360664,07/01/2014
02801583,27/12/2016
91639327,28/12/2017
25736881,04/05/2016
59602978,08/09/2016
33393825,11/09/2018
43167186,27/12/2010
26927959,10/07/2016
75665950,16/11/2010
35933347,25/06/2013
46039037,26/07/2011
59322488,23/05/2016
82824310,31/07/2013
69954407,10/07/2010
56945815,14/04/2016
21973150,26/06/2017
64398631,25/02/2014
28626648,12/07/2017
90464382,28/05/2016
26380262,07/03/2016
21067074,09/11/2011
27456335,20/03/2015
73868006,10/03/2012
85599638,29/07/2017
53053708,20/05/2011
57595749,16/07/2013
82068297,26/09/2015
66451115,27/04/2016
97690291,13/11/2015
05340247,25/01/2017
07504637,13/10/2011
79833921,09/10/2016
95526209,07/02/2011
57996861,04/02/2014
09725048,27/03/2019
26773038,27/10/2015
45469920,01/03/2013
09314323,04/08/2015
46249237,27/05/2010
16402111,06/07/2015
34701141,12/02/2013
98197297,20/02/2016
42867399,05/04/2016
37590445,26/01/2015
78348863,20/01/2017
06197816,19/09/2012
67530744,14/07/2017
26806923,15/07/2018
75787804,14/09/2015
37008413,11/03/2017
10421138,14/06/2014
26527519,16/05/2017
23691697,15/04/2015
56044305,27/08/2015
62282229,11/08/2015
49083681,06/07/2013
63908227,07/06/2013
23201572,26/10/2016
96806342,02/07/2010
86541496,25/08/2018
16799569,10/11/2017
45805249,21/05/2016
42055328,25/09/2016
77235181,28/12/2016
14272993,20/04/2011
04948334,26/08/2018
05875982,19/06/2018
08160585,14/04/2013
43076226,15/05/2012
54269293,24/12/2010
75497801,20/03/2018
15947993,12/11/2011
55331917,16/11/2013
37705244,27/04/2012
62602999,03/02/2017
46023224,08/09/2014
21178814,15/03/2015
80409720,12/04/2013
57198165,09/03/2011
90965743,30/01/2017
02766623,22/01/2018
59838867,28/12/2012
58956534,05/08/2018
80176533,29/07/2013
41170784,07/11/2018
17888023,30/01/2012
32526625,13/10/2011
06774945,01/09/2018
58885302,13/10/2015
47541228,07/04/2011
53192361,25/03/2014
20525263,11/01/2015
63307626,17/10/2015
48398653,19/10/2018
64246282,05/10/2018
88546267,08/06/2010
07672041,30/03/2019
09114926,02/03/2014
23413106,29/01/2012
82153784,20/08/2015
86410568,06/01/2018
54525269,19/01/2013
52843311,09/09/2017
22951972,23/10/2017
96655209,23/01/2013
